"R0000100","R0009600","R0173600","R0214700","R0214800"
582,9,5,3,2
583,6,1,3,1
584,9,1,3,1
585,29,5,3,2
586,9,2,3,1
587,9,2,3,1
588,9,6,3,2
589,9,6,3,2
590,9,6,3,2
591,17,8,1,2
592,9,1,3,1
593,20,8,1,2
594,1,3,2,1
595,1,3,2,1
596,1,3,2,1
597,1,3,2,1
598,1,7,2,2
599,1,3,2,1
600,14,1,3,1
601,14,5,3,2
602,3,1,3,1
603,28,5,3,2
604,6,5,3,2
605,6,1,3,1
606,5,1,3,1
607,6,1,3,1
608,3,5,3,2
609,3,5,3,2
610,6,1,3,1
611,3,6,3,2
612,6,6,3,2
613,3,1,3,1
614,17,8,1,2
615,28,5,3,2
616,28,1,3,1
617,5,6,3,2
618,3,5,3,2
619,11,5,3,2
620,1,3,2,1
621,1,7,2,2
622,1,7,2,2
623,1,7,2,2
624,1,3,2,1
625,1,3,2,1
626,6,5,3,2
627,5,5,3,2
628,1,3,2,1
629,6,1,3,1
630,6,1,3,1
631,6,1,3,1
632,6,5,3,2
633,6,1,3,1
634,11,5,3,2
635,6,5,3,2
636,3,5,3,2
637,11,1,3,1
638,3,1,3,1
639,3,1,3,1
640,3,5,3,2
641,3,1,3,1
642,3,5,3,2
643,3,5,3,2
644,3,1,3,1
645,3,1,3,1
646,6,5,3,2
647,6,1,3,1
648,2,5,3,2
649,3,1,3,1
650,3,5,3,2
651,3,1,3,1
652,3,5,3,2
653,3,1,3,1
654,3,5,3,2
655,28,5,3,2
656,6,5,3,2
657,6,5,3,2
658,6,1,3,1
659,6,1,3,1
660,6,5,3,2
661,11,5,3,2
662,11,5,3,2
663,11,1,3,1
664,3,5,3,2
665,6,5,3,2
666,6,1,3,1
667,6,1,3,1
668,11,5,3,2
669,3,1,3,1
670,3,5,3,2
671,1,3,2,1
672,1,3,2,1
673,1,3,2,1
674,1,3,2,1
675,1,3,2,1
676,1,3,2,1
677,1,7,2,2
678,1,3,2,1
679,1,3,2,1
680,1,7,2,2
681,3,3,2,1
682,1,7,2,2
683,1,7,2,2
684,11,1,3,1
685,11,1,3,1
686,11,1,3,1
687,11,1,3,1
688,3,5,3,2
689,3,5,3,2
690,3,1,3,1
691,6,5,3,2
692,11,5,3,2
693,6,1,3,1
694,5,5,3,2
695,5,1,3,1
696,5,5,3,2
697,6,1,3,1
698,3,5,3,2
699,3,5,3,2
700,3,1,3,1
701,11,1,3,1
702,11,1,3,1
703,3,5,3,2
704,5,5,3,2
705,6,1,3,1
706,3,6,3,2
707,3,1,3,1
708,9,6,3,2
709,6,2,3,1
710,9,1,3,1
711,3,1,3,1
712,5,5,3,2
713,6,5,3,2
714,9,1,3,1
715,6,1,3,1
716,3,1,3,1
717,3,1,3,1
718,3,1,3,1
719,9,1,3,1
720,5,5,3,2
721,10,5,3,2
722,5,1,3,1
723,5,5,3,2
724,3,5,3,2
725,3,1,3,1
726,6,5,3,2
727,6,1,3,1
728,5,1,3,1
729,6,1,3,1
730,3,1,3,1
731,3,1,3,1
732,3,1,3,1
733,3,5,3,2
734,3,8,1,2
735,29,1,3,1
736,9,5,3,2
737,9,1,3,1
738,6,1,3,1
739,3,5,3,2
740,3,5,3,2
741,5,1,3,1
742,7,1,3,1
743,7,5,3,2
744,1,7,2,2
745,1,7,2,2
746,3,5,3,2
747,3,1,3,1
748,4,5,3,2
749,6,1,3,1
750,3,1,3,1
751,3,1,3,1
752,5,6,3,2
753,1,3,2,1
754,1,3,2,1
755,18,8,1,2
756,18,8,1,2
757,1,7,2,2
758,1,7,2,2
759,1,7,2,2
760,1,3,2,1
761,9,5,3,2
762,18,4,1,1
763,18,4,1,1
764,16,8,1,2
765,17,4,1,1
766,11,1,3,1
767,3,1,3,1
768,28,5,3,2
769,12,1,3,1
770,12,5,3,2
771,22,1,3,1
772,22,1,3,1
773,22,1,3,1
774,22,1,3,1
775,22,5,3,2
776,28,1,3,1
777,28,1,3,1
778,28,1,3,1
779,22,5,3,2
780,6,1,3,1
781,3,5,3,2
782,18,4,1,1
783,6,8,1,2
784,6,4,1,1
785,28,5,3,2
786,28,1,3,1
787,28,5,3,2
788,3,5,3,2
789,3,5,3,2
790,6,5,3,2
791,6,1,3,1
792,3,5,3,2
793,6,1,3,1
794,3,1,3,1
795,6,1,3,1
796,6,1,3,1
797,6,1,3,1
798,6,5,3,2
799,6,1,3,1
800,11,1,3,1
801,7,5,3,2
802,6,1,3,1
803,3,5,3,2
804,3,5,3,2
805,5,5,3,2
806,11,1,3,1
807,11,1,3,1
808,11,5,3,2
809,6,1,3,1
810,6,5,3,2
811,28,5,3,2
812,28,5,3,2
813,22,1,3,1
814,5,5,3,2
815,28,1,3,1
816,22,5,3,2
817,9,1,3,1
818,28,1,3,1
819,7,1,3,1
820,25,5,3,2
821,11,5,3,2
822,5,1,3,1
823,6,1,3,1
824,3,5,3,2
825,3,1,3,1
826,11,1,3,1
827,3,1,3,1
828,3,5,3,2
829,29,5,3,2
830,1,7,2,2
831,1,7,2,2
832,1,3,2,1
833,1,3,2,1
834,1,7,2,2
835,1,7,2,2
836,20,8,1,2
837,1,3,2,1
838,18,4,1,1
839,1,7,2,2
840,1,7,2,2
841,9,5,3,2
842,5,5,3,2
843,6,5,3,2
844,6,1,3,1
845,3,5,3,2
846,6,5,3,2
847,1,3,2,1
848,3,5,3,2
849,29,5,3,2
850,3,1,3,1
851,6,1,3,1
852,28,5,3,2
853,5,1,3,1
854,5,5,3,2
855,11,5,3,2
856,11,5,3,2
857,3,5,3,2
858,6,5,3,2
859,11,1,3,1
860,28,1,3,1
861,28,5,3,2
862,6,5,3,2
863,6,1,3,1
864,3,1,3,1
865,3,1,3,1
866,28,5,3,2
867,6,5,3,2
868,6,1,3,1
869,3,5,3,2
870,6,1,3,1
871,5,1,3,1
872,6,1,3,1
873,6,1,3,1
874,6,1,3,1
875,9,5,3,2
876,6,5,3,2
877,3,1,3,1
878,6,5,3,2
879,3,5,3,2
880,28,5,3,2
881,3,1,3,1
882,3,1,3,1
883,3,5,3,2
884,6,5,3,2
885,5,1,3,1
886,11,5,3,2
887,11,5,3,2
888,11,1,3,1
889,11,5,3,2
890,3,1,3,1
891,6,1,3,1
892,11,5,3,2
893,6,5,3,2
894,3,5,3,2
895,28,5,3,2
896,3,5,3,2
897,3,5,3,2
898,3,5,3,2
899,3,1,3,1
900,5,5,3,2
901,5,5,3,2
902,3,1,3,1
903,3,1,3,1
904,6,5,3,2
905,6,5,3,2
906,3,5,3,2
907,3,1,3,1
908,3,1,3,1
909,3,5,3,2
910,1,3,2,1
911,1,3,2,1
912,6,5,3,2
913,6,1,3,1
914,6,8,1,2
915,6,8,1,2
916,3,1,3,1
917,5,1,3,1
918,5,5,3,2
919,6,1,3,1
920,6,1,3,1
921,6,1,3,1
922,6,1,3,1
923,3,5,3,2
924,3,1,3,1
925,28,1,3,1
926,28,5,3,2
927,28,1,3,1
928,3,6,3,2
929,6,1,3,1
930,17,8,1,2
931,28,1,3,1
932,3,5,3,2
933,6,2,3,1
934,28,1,3,1
935,3,5,3,2
936,5,5,3,2
937,5,1,3,1
938,5,1,3,1
939,6,5,3,2
940,6,5,3,2
941,3,1,3,1
942,6,5,3,2
943,6,5,3,2
944,11,2,3,1
945,22,1,3,1
946,6,1,3,1
947,6,1,3,1
948,6,1,3,1
949,6,5,3,2
950,6,5,3,2
951,11,1,3,1
952,6,5,3,2
953,11,5,3,2
954,6,5,3,2
955,29,1,3,1
956,6,1,3,1
957,5,1,3,1
958,6,1,3,1
959,5,1,3,1
960,6,1,3,1
961,5,1,3,1
962,6,5,3,2
963,6,5,3,2
964,6,5,3,2
965,3,1,3,1
966,5,5,3,2
967,3,5,3,2
968,6,1,3,1
969,6,5,3,2
970,22,1,3,1
971,6,5,3,2
972,6,5,3,2
973,28,1,3,1
974,6,5,3,2
975,5,5,3,2
976,6,5,3,2
977,6,1,3,1
978,5,6,3,2
979,6,5,3,2
980,6,1,3,1
981,6,5,3,2
982,3,5,3,2
983,11,2,3,1
984,11,2,3,1
985,11,2,3,1
986,1,7,2,2
987,28,1,3,1
988,1,7,2,2
989,5,5,3,2
990,5,1,3,1
991,5,5,3,2
992,6,5,3,2
993,5,1,3,1
994,3,1,3,1
995,9,5,3,2
996,6,1,3,1
997,6,1,3,1
998,3,5,3,2
999,6,5,3,2
1000,1,3,2,1
1001,1,7,2,2
1002,1,3,2,1
1003,5,1,3,1
1004,5,5,3,2
1005,9,5,3,2
1006,5,5,3,2
1007,3,1,3,1
1008,6,5,3,2
1009,6,6,3,2
1010,3,1,3,1
1011,6,1,3,1
1012,5,1,3,1
1013,5,1,3,1
1014,3,1,3,1
1015,3,5,3,2
1016,6,5,3,2
1017,6,5,3,2
1018,6,5,3,2
1019,3,5,3,2
1020,3,5,3,2
1021,10,1,3,1
1022,10,5,3,2
1023,3,1,3,1
1024,5,5,3,2
1025,1,7,2,2
1026,11,1,3,1
1027,1,3,2,1
1028,1,3,2,1
1029,1,7,2,2
1030,1,7,2,2
1031,1,7,2,2
1032,1,3,2,1
1033,1,7,2,2
1034,1,7,2,2
1035,3,5,3,2
1036,29,5,3,2
1037,6,5,3,2
1038,6,5,3,2
1039,3,5,3,2
1040,3,5,3,2
1041,25,5,3,2
1042,6,2,3,1
1043,6,2,3,1
1044,25,1,3,1
1045,6,1,3,1
1046,6,1,3,1
1047,29,6,3,2
1048,22,5,3,2
1049,3,5,3,2
1050,29,5,3,2
1051,6,1,3,1
1052,6,1,3,1
1053,6,1,3,1
1054,3,1,3,1
1055,3,1,3,1
1056,6,5,3,2
1057,1,7,2,2
1058,9,3,2,1
1059,1,3,2,1
1060,5,1,3,1
1061,9,1,3,1
1062,5,1,3,1
1063,5,5,3,2
1064,3,1,3,1
1065,3,5,3,2
